Month,WageAnnualPct,CPIAnnualPct
2000-01,3.6,5.8
2000-02,4.6,5.6
2000-03,4.6,5.9
2000-04,5.3,6.0
2000-05,7.1,5.9
2000-06,7.6,5.5
2000-07,7.9,5.6
2000-08,7.9,4.7
2000-09,7.8,4.0
2000-10,7.8,4.2
2000-11,7.6,4.6
2000-12,7.6,4.2
2001-01,9.3,3.5
2001-02,8.2,4.1
2001-03,9.2,3.9
2001-04,9.2,4.5
2001-05,8.0,5.5
2001-06,8.2,6.8
2001-07,8.1,7.0
2001-08,8.8,7.9
2001-09,9.1,8.4
2001-10,9.1,8.0
2001-11,9.4,8.1
2001-12,9.6,8.6
2002-01,10.0,9.4
2002-02,9.8,8.9
2002-03,8.7,8.7
2002-04,8.0,7.5
2002-05,7.5,5.9
2002-06,6.9,4.8
2002-07,6.6,4.1
2002-08,6.0,3.2
2002-09,5.8,3.1
2002-10,5.9,2.9
2002-11,5.7,2.4
2002-12,5.4,2.0
2003-01,5.5,1.4
2003-02,5.6,1.5
2003-03,5.7,2.2
2003-04,5.6,2.3
2003-05,5.6,2.2
2003-06,5.6,1.8
2003-07,5.7,1.6
2003-08,5.7,2.0
2003-09,5.6,2.2
2003-10,5.5,2.2
2003-11,5.5,2.5
2003-12,5.4,2.7
2004-01,3.3,2.4
2004-02,3.3,2.3
2004-03,3.8,1.8
2004-04,4.0,2.2
2004-05,4.6,3.2
2004-06,5.1,3.9
2004-07,5.1,3.6
2004-08,5.2,3.7
2004-09,5.3,3.4
2004-10,5.3,3.7
2004-11,5.4,3.8
2004-12,6.0,3.9
2005-01,6.6,4.0
2005-02,6.7,4.5
2005-03,6.5,4.7
2005-04,6.7,4.3
2005-05,6.6,2.9
2005-06,6.3,2.8
2005-07,6.6,3.5
2005-08,6.7,3.7
2005-09,6.9,4.8
2005-10,6.9,4.6
2005-11,7.3,4.2
2005-12,7.2,4.1
2006-01,8.3,4.4
2006-02,8.6,4.1
2006-03,8.6,4.5
2006-04,8.4,5.5
2006-05,8.7,7.6
2006-06,8.8,8.0
2006-07,10.2,8.4
2006-08,10.6,8.6
2006-09,10.8,7.6
2006-10,11.0,7.2
2006-11,10.5,7.3
2006-12,9.8,7.0
2007-01,10.1,6.9
2007-02,9.8,7.4
2007-03,9.7,5.9
2007-04,9.8,5.3
2007-05,9.6,4.7
2007-06,9.8,4.0
2007-07,8.3,3.8
2007-08,8.0,3.4
2007-09,8.1,4.2
2007-10,8.1,4.5
2007-11,8.3,5.2
2007-12,8.6,5.9
2008-01,6.2,5.8
2008-02,6.8,6.8
2008-03,7.8,8.7
2008-04,8.2,11.8
2008-05,7.9,12.3
2008-06,8.5,12.7
2008-07,9.1,13.6
2008-08,9.1,14.5
2008-09,9.0,14.0
2008-10,8.8,15.9
2008-11,7.8,17.1
2008-12,8.3,18.1
2009-01,7.5,18.6
2009-02,6.7,17.6
2009-03,5.5,15.2
2009-04,4.4,11.9
2009-05,4.1,11.6
2009-06,3.0,12.2
2009-07,2.6,11.3
2009-08,2.2,10.9
2009-09,1.9,10.8
2009-10,1.9,9.7
2009-11,4.0,8.6
2009-12,3.6,7.5
2010-01,3.1,6.6
2010-02,3.6,7.3
2010-03,3.6,8.5
2010-04,4.0,8.3
2010-05,4.0,7.5
2010-06,6.1,5.7
2010-07,6.0,4.8
2010-08,6.0,4.5
2010-09,6.0,3.7
2010-10,6.0,3.3
2010-11,4.7,2.6
2010-12,4.5,2.5
2011-01,4.4,1.8
2011-02,4.2,1.9
2011-03,4.4,2.3
2011-04,4.4,2.8
2011-05,5.3,3.4
2011-06,7.1,4.2
2011-07,7.8,5.0
2011-08,8.0,5.0
2011-09,8.4,5.7
2011-10,8.9,5.3
2011-11,9.0,5.2
2011-12,9.2,5.3
2012-01,9.1,6.5
2012-02,11.3,6.3
2012-03,12.1,6.4
2012-04,11.9,6.4
2012-05,11.0,5.4
2012-06,6.9,5.4
2012-07,6.0,4.6
2012-08,5.9,4.1
2012-09,5.7,4.3
2012-10,5.1,4.2
2012-11,5.0,4.5
2012-12,4.7,4.2
2013-01,5.0,4.2
2013-02,5.2,4.8
2013-03,5.5,3.9
2013-04,5.8,3.3
2013-05,5.5,3.3
2013-06,5.7,3.3
2013-07,5.5,3.8
2013-08,5.7,4.3
2013-09,5.9,3.9
2013-10,6.0,3.6
2013-11,6.1,3.7
2013-12,6.0,4.2
2014-01,6.7,3.1
2014-02,4.7,2.1
2014-03,4.4,2.2
2014-04,4.8,2.3
2014-05,5.2,2.4
2014-06,5.4,2.2
2014-07,5.9,2.4
2014-08,6.3,2.2
2014-09,6.2,1.8
2014-10,6.6,1.9
2014-11,6.6,1.0
2014-12,6.6,0.8
2015-01,6.3,0.8
2015-02,6.4,0.8
2015-03,5.6,1.6
2015-04,5.2,1.4
2015-05,5.3,1.6
2015-06,7.1,1.5
2015-07,7.9,1.9
2015-08,7.7,2.2
2015-09,8.2,1.9
2015-10,7.9,1.8
2015-11,8.7,2.0
2015-12,9.7,2.0
2016-01,9.4,2.1
2016-02,12.6,2.2
2016-03,13.3,1.5
2016-04,13.4,1.6
2016-05,13.3,1.7
2016-06,12.5,1.6
2016-07,11.3,1.1
2016-08,11.2,0.9
2016-09,10.5,1.8
2016-10,10.4,1.8
2016-11,9.7,2.1
2016-12,9.1,1.9
2017-01,8.7,1.9
2017-02,5.5,1.9
2017-03,5.0,1.6
2017-04,4.9,1.9
2017-05,7.8,1.7
2017-06,7.3,1.5
2017-07,7.2,1.8
2017-08,7.2,1.7
2017-09,7.4,1.4
2017-10,7.2,1.9
2017-11,7.1,1.7
2017-12,6.9,1.9
2018-01,7.3,2.4
2018-02,7.2,2.3
2018-03,7.1,2.8
2018-04,7.3,2.3
2018-05,6.3,2.0
2018-06,5.9,2.6
2018-07,6.3,2.7
2018-08,6.0,2.6
2018-09,5.9,2.7
2018-10,6.2,2.8
2018-11,6.2,3.3
2018-12,6.0,3.7
2019-01,5.8,3.4
2019-02,5.6,3.0
2019-03,5.5,2.9
2019-04,6.8,3.3
2019-05,5.1,3.6
2019-06,4.3,3.3
2019-07,4.2,3.1
2019-08,4.3,3.2
2019-09,4.2,3.0
2019-10,4.2,2.8
2019-11,4.2,2.7
2019-12,4.5,2.0
2020-01,4.9,1.7
2020-02,4.8,2.4
2020-03,4.9,2.1
2020-04,6.8,2.2
2020-05,6.4,2.6
2020-06,6.7,2.6
2020-07,6.3,3.0
2020-08,6.4,3.2
2020-09,6.7,3.5
2020-10,7.1,3.6
2020-11,7.3,3.5
2020-12,7.2,3.6
2021-01,10.3,4.3
2021-02,10.6,4.1
2021-03,10.6,4.3
2021-04,7.4,4.6
2021-05,7.5,4.4
2021-06,7.7,4.3
2021-07,7.8,4.3
2021-08,7.9,4.3
2021-09,7.7,4.4
2021-10,7.6,4.5
2021-11,7.5,4.8
2021-12,7.3,5.1
2022-01,7.3,5.7
2022-02,7.3,6.2
2022-03,7.1,6.7
2022-04,8.5,7.2
2022-05,8.6,7.6
2022-06,8.1,8.8
2022-07,8.1,9.9
2022-08,8.0,9.7
2022-09,8.1,9.3
2022-10,7.9,9.4
2022-11,8.0,9.3
2022-12,12.4,9.6
2023-01,8.6,9.9
2023-02,8.7,10.2
2023-03,9.5,9.8
2023-04,9.5,9.9
2023-05,9.6,9.5
2023-06,10.9,8.9
2023-07,10.7,7.6
2023-08,10.8,7.7
2023-09,10.9,8.0
2023-10,10.9,7.9
2023-11,10.8,8.0
2023-12,6.7,7.7
2024-01,7.0,6.7
2024-02,6.8,6.6
2024-03,8.3,6.8
2024-04,7.1,6.0
2024-05,6.7,6.2
2024-06,6.0,5.8
2024-07,6.5,6.3
2024-08,6.3,6.0
2024-09,6.1,5.4
2024-10,6.0,5.1
2024-11,6.1,4.8
2024-12,6.4,4.8
2025-01,9.1,4.6
2025-02,9.0,4.2
2025-03,6.9,3.8
2025-04,8.2,4.2
2025-05,8.3,3.8
2025-06,8.2,4.2
2025-07,7.6,4.0
2025-08,7.7,3.8
2025-09,7.8,4.1
2025-10,7.7,4.3
2025-11,7.5,3.7
2025-12,7.0,4.5
